group,design,method,n,strength,reps,reference_mse,proposal_mse,repaired_mse,proposal_gain,repaired_gain,repaired_gain_ci_low,repaired_gain_ci_high,path_activation,final_activation,conditional_gain_when_active,conditional_harm_when_active,unconditional_harm,mean_shrink_weight
kang_schafer,kang_schafer_ii,cui_selective_ml,1000,0,96,2.83878775351,1.90460031539,2.46261436186,0.329079705577,0.132511981985,0.0524421677364,0.22267171486,0.979166666667,0.447916666667,0.325971169183,0.186046511628,0.0833333333333,0.207997490356
kang_schafer,kang_schafer_ii,ma_dr_bc,200,0,96,70.5152048642,67.3885682464,68.3248494576,0.044339892705,0.03106217178,0.00728484138784,0.0656105767571,0.25,0.0833333333333,0.264036726905,0,0,0.0485606607411
kang_schafer,kang_schafer_ii,ma_dr_bc,1000,0,96,6.28730856447,5.93251660702,6.01134224138,0.0564298624453,0.0438926005074,0.00263609158527,0.0939440575281,0.354166666667,0.208333333333,0.170848851997,0.3,0.0625,0.105997364637
kang_schafer,kang_schafer_ii,tmle,200,0,96,10.8559681105,10.5401203139,10.9750275172,0.0290943924519,-0.0109671846418,-0.0393830339865,0,0.239583333333,0.0104166666667,-56.6940766606,1,0.0104166666667,0.00397418310806
kang_schafer,kang_schafer_ii,tmle,1000,0,96,1.99223894257,2.09916276337,1.99259777821,-0.0536701790719,-0.000180116769218,-0.0273813927865,0.0231884099978,0.645833333333,0.0625,-0.00348839495108,0.5,0.03125,0.0278043415599
real,real_breast_cancer_aligned,aipw,6000,0,96,0.00192993638258,0.00192993638258,0.00192993638258,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,aipw,6000,1,96,0.00358208831868,0.00358208831868,0.00358208831868,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,aipw,6000,2,96,0.00796193399664,0.00796193399664,0.00796193399664,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,ctmle,6000,0,96,0.00124285223359,0.00124285223359,0.00124285223359,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,ctmle,6000,1,96,0.00248610560231,0.00248610560231,0.00248610560231,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,ctmle,6000,2,96,0.0114628851285,0.0114628851285,0.0114628851285,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,cui_selective_ml,6000,0,96,0.000678908973951,0.000673729498604,0.000678356784102,0.00762911604611,0.000813348873018,0,0.00279004857098,0.09375,0.0208333333333,0.751736717426,0,0,0.00887386617068
real,real_breast_cancer_aligned,cui_selective_ml,6000,1,96,0.00272916634369,0.0026977785179,0.00271977589569,0.0115008840924,0.00344077524782,0,0.0114705204435,0.135416666667,0.0104166666667,0.24235118691,0,0,0.00627980677871
real,real_breast_cancer_aligned,cui_selective_ml,6000,2,96,0.00886980320834,0.00863098271338,0.00877693191408,0.0269251176538,0.0104705022278,0.000974719826305,0.0230635413667,0.416666666667,0.0625,0.164047166483,0.166666666667,0.0104166666667,0.0345130551473
real,real_breast_cancer_aligned,ma_dr_bc,6000,0,96,0.00308774610953,0.00308774610953,0.00308774610953,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,ma_dr_bc,6000,1,96,0.00719802505771,0.00719802505771,0.00719802505771,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,ma_dr_bc,6000,2,96,0.0247350098409,0.0247305429166,0.0247350098409,0.000180591166256,0,0,0,0.0104166666667,0,,,0,0
real,real_breast_cancer_aligned,tmle,6000,0,96,0.000962402458208,0.000962402458208,0.000962402458208,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,tmle,6000,1,96,0.00254957764085,0.00254957764085,0.00254957764085,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_aligned,tmle,6000,2,96,0.00908901877521,0.00908901877521,0.00908901877521,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_misaligned,aipw,6000,0,96,0.00127641293958,0.0012863473192,0.00127641293958,-0.0077830452164,0,0,0,0.0104166666667,0,,,0,0
real,real_breast_cancer_misaligned,aipw,6000,1,96,0.0024461452126,0.0024461452126,0.0024461452126,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_misaligned,aipw,6000,2,96,0.0055411820055,0.00545121651185,0.00551715879024,0.0162357947387,0.00433539545075,0,0.0148326496213,0.125,0.0104166666667,0.22839114235,0,0,0.00665318163747
real,real_breast_cancer_misaligned,ctmle,6000,0,96,0.000849775853311,0.000849775853311,0.000849775853311,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_misaligned,ctmle,6000,1,96,0.00233911470897,0.00233911470897,0.00233911470897,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_misaligned,ctmle,6000,2,96,0.0116620305246,0.0116847816995,0.011683485022,-0.00195087594701,-0.00183968797789,-0.00611945412326,0,0.0104166666667,0.0104166666667,-0.649346951114,1,0.0104166666667,0.00988829955861
real,real_breast_cancer_misaligned,cui_selective_ml,6000,0,96,0.000643245285823,0.000626881454521,0.0006390373965,0.0254394888908,0.00654165590683,0,0.0228457588551,0.125,0.0104166666667,0.411840856903,0,0,0.00516447132893
real,real_breast_cancer_misaligned,cui_selective_ml,6000,1,96,0.00243239399441,0.00237400677027,0.00239346285898,0.0240040159077,0.0160052752637,-0.00248628092174,0.0524286000573,0.40625,0.0520833333333,0.256025093929,0.4,0.0208333333333,0.0186248935122
real,real_breast_cancer_misaligned,cui_selective_ml,6000,2,96,0.0108861290363,0.00864823984621,0.00999344174072,0.205572539389,0.0820022702858,0.035692109422,0.13992624485,0.583333333333,0.166666666667,0.228858069747,0,0,0.0780253971435
real,real_breast_cancer_misaligned,ma_dr_bc,6000,0,96,0.00209876902563,0.00209876902563,0.00209876902563,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_misaligned,ma_dr_bc,6000,1,96,0.00695050625418,0.00695050625418,0.00695050625418,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_misaligned,ma_dr_bc,6000,2,96,0.0265531554626,0.02650660445,0.0265531554626,0.00175312544749,0,0,0,0.0208333333333,0,,,0,0
real,real_breast_cancer_misaligned,tmle,6000,0,96,0.000595621361478,0.000595621361478,0.000595621361478,0,0,0,0,0,0,,,0,0
real,real_breast_cancer_misaligned,tmle,6000,1,96,0.00183467767201,0.00183964415248,0.00183467767201,-0.00270700436723,0,0,0,0.0208333333333,0,,,0,0
real,real_breast_cancer_misaligned,tmle,6000,2,96,0.0071539915568,0.00706741832573,0.00709116795804,0.0121013884882,0.00878161488787,0.00141542303228,0.0194458198736,0.125,0.0520833333333,0.293701482225,0,0,0.0287019166336
real,real_digits_aligned,aipw,6000,0,96,0.0020890311422,0.0020890311422,0.0020890311422,0,0,0,0,0,0,,,0,0
real,real_digits_aligned,aipw,6000,1,96,0.0071168537155,0.0071168537155,0.0071168537155,0,0,0,0,0,0,,,0,0
real,real_digits_aligned,aipw,6000,2,96,0.0173434377467,0.0173434377467,0.0173434377467,0,0,0,0,0,0,,,0,0
